Cluster	Element
DRX014091	ERX062366
DRX014091	ERX1033545
DRX014091	ERX1033546
DRX014091	ERX1086502
DRX014091	ERX120688
DRX014091	ERX1269724
DRX014091	ERX132369
DRX014091	ERX1972121
DRX014091	ERX2524997
DRX014091	ERX267672
DRX014091	ERX267688
DRX014091	ERX3434451
DRX014091	ERX3543752
DRX014091	ERX359425
DRX014091	ERX460155
DRX014091	ERX490263
DRX014091	ERX490295
DRX014091	ERX490324
DRX014091	ERX532076
DRX014091	ERX652748
DRX014091	GCA_024741555.1_ASM2474155v1
DRX014091	GCA_025558945.1_ASM2555894v1
DRX014091	GCA_025559465.1_ASM2555946v1
DRX014091	GCA_900474695.1_41004_B01
DRX014091	SRX3279851
DRX014091	SRX3281979
DRX014091	SRX3570721
DRX014091	SRX7122607
ERX086976	ERX092296
ERX086976	ERX092316
ERX086976	ERX1033729
ERX086976	ERX1103529
ERX086976	ERX1149977
ERX086976	ERX1150025
ERX086976	ERX1285955
ERX086976	ERX1285961
ERX086976	ERX1492898
ERX086976	ERX1820860
ERX086976	ERX1830508
ERX086976	ERX1864084
ERX086976	ERX1933580
ERX086976	ERX1998073
ERX086976	ERX2011941
ERX086976	ERX212226
ERX086976	ERX2524895
ERX086976	ERX2524981
ERX086976	ERX2862331
ERX086976	ERX3591416
ERX086976	ERX3837681
ERX086976	ERX3970058
ERX086976	ERX3970255
ERX086976	ERX3985870
ERX086976	ERX3985901
ERX086976	ERX4442160
ERX086976	ERX490207
ERX086976	ERX505421
ERX086976	ERX513347
ERX086976	ERX513380
ERX086976	ERX652765
ERX086976	ERX680993
ERX086976	ERX681141
ERX086976	ERX686774
ERX086976	ERX717700
ERX086976	ERX717719
ERX086976	ERX926271
ERX086976	ERX926293
ERX086976	GCA_016065215.1_ASM1606521v1
ERX086976	GCA_018093105.1_ASM1809310v1
ERX086976	GCA_024741355.1_ASM2474135v1
ERX086976	GCA_024741375.1_ASM2474137v1
ERX086976	GCA_024741395.1_ASM2474139v1
ERX086976	GCA_024741415.1_ASM2474141v1
ERX086976	GCA_024741435.1_ASM2474143v1
ERX086976	GCA_024741455.1_ASM2474145v1
ERX086976	GCA_024741475.1_ASM2474147v1
ERX086976	GCA_024741495.1_ASM2474149v1
ERX086976	GCA_024741515.1_ASM2474151v1
ERX086976	GCA_024741535.1_ASM2474153v1
ERX086976	GCA_024741575.1_ASM2474157v1
ERX086976	GCA_024741595.1_ASM2474159v1
ERX086976	GCA_024741615.1_ASM2474161v1
ERX086976	GCA_024741635.1_ASM2474163v1
ERX086976	GCA_024741655.1_ASM2474165v1
ERX086976	GCA_024741675.1_ASM2474167v1
ERX086976	GCA_024741695.1_ASM2474169v1
ERX086976	GCA_024741715.1_ASM2474171v1
ERX086976	GCA_025559165.1_ASM2555916v1
ERX086976	GCA_025559705.1_ASM2555970v1
ERX086976	SRX1497261
ERX086976	SRX152519
ERX086976	SRX3444150
ERX086976	SRX3444392
ERX086976	SRX3444498
ERX086976	SRX3882802
ERX086976	SRX5198812
ERX086976	SRX8048227
ERX086976	SRX8606112
ERX086976	SRX8606395
ERX087118	ERX376428
ERX087118	GCA_018093065.1_ASM1809306v1
ERX1150171	ERX136718
ERX1150171	ERX1830489
ERX1150171	ERX221156
ERX1150171	ERX2525005
ERX1150171	ERX3179988
ERX1150171	ERX385397
ERX1150171	ERX513567
ERX1150171	GCA_009731595.1_ASM973159v1
ERX1150171	SRX1884754
ERX1285952	ERX1285959
ERX1285952	ERX1285962
ERX1285952	ERX1285967
