Cluster	Element
ERX926293	GCA_016065215.1_ASM1606521v1
ERX926293	GCA_018093105.1_ASM1809310v1
ERX926293	GCA_024741355.1_ASM2474135v1
ERX926293	GCA_024741375.1_ASM2474137v1
ERX926293	GCA_024741395.1_ASM2474139v1
ERX926293	GCA_024741415.1_ASM2474141v1
ERX926293	GCA_024741435.1_ASM2474143v1
ERX926293	GCA_024741455.1_ASM2474145v1
ERX926293	GCA_024741475.1_ASM2474147v1
ERX926293	GCA_024741495.1_ASM2474149v1
ERX926293	GCA_024741515.1_ASM2474151v1
ERX926293	GCA_024741535.1_ASM2474153v1
ERX926293	GCA_024741575.1_ASM2474157v1
ERX926293	GCA_024741595.1_ASM2474159v1
ERX926293	GCA_024741615.1_ASM2474161v1
ERX926293	GCA_024741635.1_ASM2474163v1
ERX926293	GCA_024741655.1_ASM2474165v1
ERX926293	GCA_024741675.1_ASM2474167v1
ERX926293	GCA_024741695.1_ASM2474169v1
ERX926293	GCA_024741715.1_ASM2474171v1
ERX926293	GCA_025559705.1_ASM2555970v1
ERX926293	SRX152519
ERX926293	SRX3444150
ERX926293	SRX3444392
ERX926293	SRX3444498
ERX926293	SRX3882802
ERX926293	SRX5198812
ERX926293	SRX8048227
ERX926293	SRX8606112
ERX926293	SRX8606395
ERX513380	ERX652765
ERX513380	ERX680993
ERX513380	ERX681141
ERX513380	ERX686774
ERX513380	ERX717700
ERX513380	ERX717719
ERX513380	ERX926271
ERX513380	GCA_019653615.1_ASM1965361v1
ERX513380	GCA_025559165.1_ASM2555916v1
ERX513380	SRX1497261
ERX1285962	ERX1285967
ERX1285962	ERX1830508
ERX1285962	ERX1933580
ERX1285962	ERX2011941
ERX1285962	ERX2524895
ERX1285962	ERX3591416
ERX1285962	ERX3970255
ERX1285962	ERX3985870
ERX2862331	ERX3837681
ERX2862331	ERX3970058
ERX2862331	ERX3985901
ERX2862331	ERX4442160
ERX2862331	ERX490207
ERX2862331	ERX505421
ERX2862331	ERX513347
ERX132369	ERX1972121
ERX132369	ERX2524997
ERX132369	ERX267672
ERX132369	ERX267688
ERX132369	ERX3434451
ERX132369	ERX3543752
ERX132369	ERX359425
ERX132369	ERX376428
ERX132369	ERX460155
ERX132369	ERX490263
ERX132369	ERX490295
ERX132369	ERX490324
ERX132369	ERX532076
ERX132369	ERX652748
ERX132369	GCA_018093065.1_ASM1809306v1
ERX132369	GCA_024741555.1_ASM2474155v1
ERX132369	GCA_025558945.1_ASM2555894v1
ERX132369	GCA_025559465.1_ASM2555946v1
ERX132369	GCA_900474695.1_41004_B01
ERX132369	SRX3279851
ERX132369	SRX7122607
ERX1864084	ERX1998073
ERX1864084	ERX212226
ERX1864084	ERX2524981
ERX092296	ERX092316
ERX092296	ERX1033729
ERX092296	ERX1103529
ERX092296	ERX1149977
ERX092296	ERX1150025
ERX092296	ERX1492898
ERX092296	ERX1820860
ERX087118	ERX1033545
ERX087118	ERX1033546
ERX087118	ERX120688
ERX087118	ERX1269724
ERX087118	SRX3281979
ERX087118	SRX3570721
ERX1150171	ERX136718
ERX1150171	ERX1830489
ERX1150171	ERX221156
ERX1150171	ERX2525005
ERX1150171	ERX3179988
ERX1150171	ERX385397
ERX1150171	ERX513567
ERX1150171	GCA_009731595.1_ASM973159v1
ERX1150171	SRX1884754
ERX1285955	ERX1285959
ERX1285955	ERX1285961
